Organization type,Size of IT department,Customer organization type,Estimated  duration,Development type,Application domain,Object points,Contract maturity,Government policy impact,Organization management structure clarity,Developer hiring policy,Developer incentives policy ,Developer training,Development team management,Top management support,Top management opinion of previous system,User resistance,User computer experience, Users stability , Requirements flexibility ,Project manager experience,Consultant availability,DBMS  expert availability,Precedentedness,Software tool experience,Programmers experience in programming language,Programmers capability ,Team selection,Team size,Daily working hours,Team contracts,Team cohesion,Schedule quality,Development environment adequacy,Tool availability ,Methodology,Programming language used,DBMS used,Technical stability,Open source software,Degree of software reuse ,Degree of risk management,Use of standards, Process reengineering ,Requirement accuracy level,Technical documentation,User manual,Required reusability,Performance requirements,Product complexity,Security requirements,Reliability requirements,Specified H/W,Actual effort
0.0,0.0,0.0,2.5,0.0,0.0,-0.29477993,-0.5,0.0,2.0,0.0,-0.33333334,0.0,0.0,1.0,-1.0,0.0,0.0,0.8314608,0.0,0.0,0.0,-1.0,-2.0,-0.5,-1.0,-1.0,-1.0,-0.33333334,0.0,1.0,-1.0,0.0,0.0,0.0,-0.5,1.3333334,1.0,1.0,0.0,-0.5,0.0,0.0,0.505618,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6336.0
0.0,0.0,-0.8,-0.75,0.0,-0.4,-0.33162743,0.5,0.0,0.0,-0.33333334,0.0,-2.0,0.0,-1.0,0.0,-1.25,0.0,0.8314608,-0.1685393,1.0,0.0,-1.0,1.0,-0.5,3.0,-1.0,-2.0,-1.3333334,0.0,0.0,-1.0,2.0,0.0,-0.8,-0.5,5.3333335,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,3.0,1.0,1.0,528.0
-1.0,1.2857143,-0.6,0.25,0.0,0.0,-0.3602866,-1.5,-2.0,0.0,-0.33333334,-0.6666667,-1.5,0.33333334,0.0,0.0,-0.75,0.0,1.1647941,1.164794,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,2.3333333,0.0,2.0,0.0,0.0,0.0,-0.4,0.5,1.0,3.0,0.0,1.0,-0.5,-2.0,0.0,-0.49438217,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,8448.0
-3.0,0.2857143,0.3,0.0,0.0,0.2,-0.114636645,2.0,-2.0,0.0,-0.33333334,0.0,0.0,-0.33333334,0.0,-1.0,-0.25,1.0,0.8314608,0.8314608,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-0.6666667,0.0,0.0,0.0,2.0,0.0,0.0,-0.5,-2.0,-1.0,0.0,1.0,-1.0,0.0,0.0,3.0000005,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4224.0
-2.0,0.14285715,0.4,0.25,0.0,0.4,0.74513817,0.0,2.0,1.0,0.33333334,-0.33333334,0.0,0.0,-2.0,0.0,-0.5,0.0,1.0,-0.1685393,0.0,-1.0,0.0,1.0,0.0,2.0,-1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,1.6666666,0.0,0.0,0.0,-1.5,0.0,0.0,-0.49438217,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,17424.0
0.0,0.0,-0.5,1.75,0.0,0.4,-0.34390992,-0.5,1.0,0.0,0.0,-1.0,-1.0,-0.33333334,0.0,0.0,-0.5,0.0,1.0,-0.1685393,1.0,0.0,-1.0,-2.0,0.5,1.0,0.0,0.0,1.6666666,0.0,4.0,0.0,0.0,1.0,0.0,0.5,0.33333334,-1.0,1.0,0.0,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.5,1.0,22176.0
0.0,0.0,-0.5,-0.5,0.0,0.0,-0.23746161,0.0,1.0,0.0,0.0,-0.6666667,-1.0,-0.33333334,0.0,0.0,-0.5,0.0,1.0,-0.1685393,0.0,0.0,-1.0,-1.0,0.5,1.0,0.0,0.0,1.6666666,0.0,2.0,-1.0,0.0,0.0,0.0,0.5,0.33333334,-1.0,0.0,0.0,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7920.0
0.0,0.5714286,-0.6,1.25,1.0,-0.6,0.6223132,0.0,0.0,1.0,0.6666667,-0.6666667,-1.0,0.6666667,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,1.6666666,0.0,2.0,1.0,0.0,1.0,-0.8,0.5,1.0,3.0,0.0,1.0,-0.5,0.0,0.0,-0.49438217,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5,1.0,28160.0
0.0,0.0,-0.6,-0.5,0.0,0.0,-0.27840328,0.0,1.0,0.0,0.33333334,-0.33333334,-1.0,0.0,0.0,0.0,-0.25,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,-0.5,0.33333334,-1.0,0.0,0.0,0.5,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3696.0
-1.0,-0.14285715,-0.6,0.25,0.0,0.4,-0.22517912,-0.5,0.0,0.0,0.0,-0.6666667,0.0,-0.33333334,0.0,-1.0,-1.0,0.0,0.0,-0.3333333,0.0,-1.0,0.0,0.0,-0.5,-1.0,2.0,0.0,-0.6666667,0.0,0.0,-2.0,0.0,0.0,-1.6,0.0,-2.0,0.0,1.0,0.0,-1.0,0.0,0.0,-0.49438217,0.0,-2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,3168.0
-1.0,1.2857143,0.0,-1.0,3.0,-0.6,0.3971341,0.0,0.0,0.0,-0.33333334,-1.3333334,-2.0,-0.33333334,-3.0,0.0,-0.25,1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.5,2.0,-1.0,0.0,0.33333334,6.0,0.0,-1.0,0.0,0.0,-1.2,-0.5,1.0,3.0,0.0,1.0,-1.5,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3696.0
-1.0,1.2857143,0.0,-0.5,0.0,-0.6,1.1545547,-0.5,-1.0,0.0,-0.33333334,-1.0,-2.0,-0.33333334,-2.0,0.0,-1.0,1.0,0.0,-0.1685393,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,6.6666665,0.0,0.0,0.0,0.0,0.0,-1.2,-0.5,1.0,3.0,0.0,1.0,0.5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,2.0,15840.0
0.0,0.0,0.2,0.25,0.0,-0.6,0.19242579,-1.0,1.0,1.0,-0.33333334,0.33333334,-1.0,0.33333334,0.0,0.0,0.5,1.0,1.0,0.16479398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333,0.0,0.0,0.0,0.0,1.0,-1.6,-0.5,1.0,3.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,33792.0
0.0,-0.14285715,0.4,0.75,0.0,0.4,0.58137155,0.0,0.0,0.0,-0.33333334,-0.33333334,-2.0,-0.33333334,0.0,-1.0,-0.75,0.0,0.0,0.6666667,0.0,-2.0,0.0,1.0,-0.5,-1.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.5,-0.33333334,-1.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,18304.0
0.0,-0.14285715,0.4,1.75,0.0,0.4,0.07778915,-1.0,0.0,0.0,-0.33333334,-0.33333334,-1.0,1.0,0.0,0.0,-0.75,1.0,1.0,-0.3333333,0.0,0.0,0.0,-1.0,-0.5,-1.0,1.0,0.0,0.33333334,0.0,2.0,1.0,0.0,0.0,0.0,0.5,-0.33333334,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.49438217,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.75,0.0,9504.0
0.0,0.0,-0.8,-0.75,0.0,0.4,-0.12691914,0.5,0.0,2.0,0.6666667,0.0,-2.0,0.33333334,-1.0,-1.0,-0.75,2.0,0.0,0.8314608,1.0,0.0,-1.0,-1.0,-0.5,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-1.6,-0.5,1.3333334,1.0,0.0,0.0,0.5,0.0,0.0,3.0000005,0.0,-2.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,577.5
0.0,0.14285715,0.6,-0.5,0.0,0.4,-0.28249744,1.5,1.0,1.0,0.0,0.0,-1.0,0.33333334,-3.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,-0.4,0.5,3.0,-1.0,1.0,0.0,0.5,0.0,0.0,1.0,1.3333334,-1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4400.0
0.0,0.14285715,0.4,0.25,0.0,0.4,0.02047083,0.0,1.0,1.0,-0.33333334,0.0,-1.0,1.6666666,-3.0,0.0,-0.75,0.0,0.0,1.0,1.0,-2.0,0.0,1.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.8,0.5,-1.3333334,1.0,0.0,0.0,-1.5,0.0,0.0,1.0,1.3333334,-1.0,0.0,-0.5,3.0,2.0,0.0,-0.5,0.0,8448.0
2.0,1.4285715,-0.9,-0.25,0.0,0.2,1.5230297,0.0,1.0,0.0,-0.33333334,-0.6666667,0.0,0.0,-3.0,0.0,-0.75,0.0,0.0,0.6666667,1.0,0.0,0.0,-2.0,-0.5,-1.0,-1.0,0.0,-1.0,0.0,4.0,-1.0,0.0,0.0,-0.8,0.5,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.49438217,0.0,1.0,0.0,0.5,3.0,0.0,3.0,0.0,1.0,1760.0
2.0,1.4285715,0.4,-0.25,0.0,0.2,1.0317298,0.0,0.0,0.0,-0.33333334,0.6666667,0.0,1.0,-3.0,0.0,-0.25,1.0,0.0,0.49812734,1.0,-2.0,-1.0,-2.0,1.5,1.0,0.0,0.0,-0.33333334,0.0,0.0,-1.0,1.0,0.0,-0.4,-0.5,-2.0,-1.0,0.0,0.0,0.5,0.0,0.0,-0.49438217,0.0,1.0,-1.0,0.0,2.0,0.0,2.0,0.0,1.0,2816.0
-4.0,0.0,-0.9,-0.25,0.0,0.2,-0.32753327,0.0,0.0,0.0,0.6666667,0.33333334,-1.0,0.6666667,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-0.33333334,-2.0,0.0,-2.0,0.0,0.0,-0.4,2.5,3.3333333,0.0,0.0,0.0,0.0,-1.0,0.0,-0.49438217,0.0,1.0,-1.0,-0.5,0.0,0.0,0.0,-0.5,1.0,4752.0
-4.0,0.0,-0.9,-0.25,0.0,0.2,-0.032753326,0.0,1.0,1.0,0.0,0.33333334,0.0,-0.33333334,1.0,0.0,-0.25,1.0,0.0,0.49812734,2.0,-2.0,0.0,-2.0,0.5,1.0,0.0,0.0,-0.6666667,0.0,0.0,0.0,2.0,0.0,-0.4,-0.5,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2640.0
2.0,1.4285715,0.0,-0.25,1.0,0.0,0.2743091,0.0,1.0,2.0,0.0,0.33333334,0.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,2.0,-1.0,0.0,-2.0,-0.5,-1.0,0.0,0.0,1.0,-2.0,4.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,2640.0
2.0,1.4285715,-0.8,0.5,1.0,0.0,0.45854658,0.0,1.0,2.0,-0.33333334,0.33333334,0.0,1.0,-2.0,0.0,0.0,2.0,0.16479398,1.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,-1.3333334,2.0,0.0,-1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5056183,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2200.0
0.0,1.4285715,-0.8,-0.75,1.0,0.0,0.17195496,0.0,1.0,2.0,0.6666667,0.6666667,0.0,2.6666667,0.0,0.0,0.5,1.0,0.0,-0.1685393,2.0,0.0,-1.0,-2.0,-0.5,-1.0,0.0,0.0,-1.3333334,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-0.5,2.0,792.0
0.0,1.4285715,-0.8,1.75,0.0,0.4,0.66325486,0.0,1.0,2.0,0.6666667,-0.33333334,0.0,1.0,-1.0,0.0,0.5,1.0,1.0,0.16479398,1.0,-1.0,0.0,1.0,-0.5,-1.0,0.0,-1.0,-1.3333334,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,-0.5,0.0,0.0,0.0,0.5,1.0,10560.0
-2.0,0.14285715,0.3,0.0,0.0,0.4,-0.35209826,1.0,2.0,1.0,0.6666667,0.33333334,0.0,0.0,1.0,0.0,1.0,1.0,1.1647941,1.164794,1.0,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.5,1.0,1.0,2.0,0.0,3.0,4224.0
-2.0,0.0,0.3,-0.5,0.0,0.4,-0.36438075,1.5,2.0,1.0,0.0,0.33333334,0.0,0.33333334,1.0,0.0,1.25,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.5,-1.0,-1.0,0.0,0.6666667,0.0,0.0,-1.0,0.0,1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,1.0,-1.0,-0.5,0.0,-1.0,0.0,-0.5,0.0,1936.0
-2.0,0.0,0.3,-0.5,0.0,0.0,-0.31934494,0.0,2.0,0.0,-0.33333334,0.33333334,-2.0,0.0,1.0,0.0,0.75,0.0,1.1647941,1.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,-0.33333334,0.0,0.0,2.0,2.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2112.0
3.0,0.0,0.3,1.0,0.0,0.0,-0.2988741,0.0,0.0,0.0,0.6666667,0.0,0.0,0.33333334,0.0,-1.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-0.5,-1.0,-1.0,0.0,-1.0,1.0,2.0,-1.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.505618,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3861.0
0.0,0.0,-0.5,0.25,0.0,0.4,0.29477993,1.5,1.0,0.0,0.6666667,0.6666667,0.0,1.0,1.0,-1.0,2.0,1.0,1.1647941,-0.1685393,1.0,0.0,-1.0,0.0,-0.5,-1.0,0.0,-1.0,0.33333334,0.0,0.0,1.0,0.0,0.0,0.0,-0.5,-2.0,0.0,0.0,1.0,-1.0,0.0,0.0,3.5056183,2.0,-2.0,-1.0,-0.5,0.0,-1.0,-1.0,0.5,0.0,7392.0
0.0,-0.14285715,0.5,-1.0,0.0,0.0,-0.25793245,-1.5,0.0,0.0,-0.33333334,-0.6666667,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.6666667,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.2,0.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,704.0
0.0,-0.14285715,0.0,-0.25,0.0,-0.6,0.0,-0.5,1.0,1.0,0.6666667,0.0,0.0,2.3333333,0.0,0.0,-0.25,1.0,1.1647941,0.6666667,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-0.6666667,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,-1.5,0.0,0.0,0.0,2.0,-2.0,0.0,-0.5,1.0,1.0,0.0,0.5,0.0,3520.0
3.0,1.2857143,0.3,0.25,0.0,0.4,-0.27021495,1.0,0.0,0.0,-0.33333334,-0.33333334,-1.0,0.0,0.0,0.0,-0.75,0.0,0.0,-0.1685393,0.0,0.0,0.0,0.0,-0.5,-1.0,-1.0,-1.0,-0.6666667,0.0,0.0,-1.0,0.0,0.0,-0.4,0.0,4.0,1.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,2904.0
0.0,-0.14285715,0.0,-0.5,0.0,-0.6,-0.04094166,1.0,1.0,0.0,0.6666667,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,-0.1685393,0.0,-1.0,0.0,0.0,-0.5,-1.0,2.0,-1.0,0.0,0.0,0.5,-1.0,0.0,2.0,-0.8,0.5,-2.0,-1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,1.0,0.0,704.0
0.0,-0.14285715,0.0,-1.0,0.0,0.2,-0.24974412,2.0,1.0,0.0,0.6666667,0.33333334,0.0,0.6666667,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,2.0,-2.0,0.0,0.0,-0.8,-0.5,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.5056183,0.0,1.0,-1.0,-0.5,1.0,0.0,0.0,0.0,0.0,528.0
0.0,0.0,0.3,-0.5,1.0,0.0,-0.3111566,0.0,0.0,0.0,0.0,-0.6666667,-1.0,-0.33333334,0.0,0.0,-0.5,0.0,1.0,-0.1685393,1.0,0.0,-1.0,0.0,0.5,1.0,-1.0,0.0,-0.6666667,0.0,0.0,0.0,0.0,1.0,-0.4,0.5,0.0,0.0,1.0,0.0,0.5,-2.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,1760.0
-2.0,0.2857143,0.3,0.25,0.0,0.2,-0.114636645,2.0,-2.0,0.0,-0.33333334,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.6666667,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-0.5,-2.0,-1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,5632.0
0.0,0.0,-0.7,1.0,0.0,-0.8,1.4411464,0.0,-2.0,0.0,0.6666667,0.33333334,0.0,0.33333334,0.0,-1.0,0.5,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,14850.0
0.0,0.0,-0.7,1.0,0.0,-0.8,1.4411464,0.0,-2.0,0.0,0.6666667,0.33333334,0.0,0.33333334,0.0,-1.0,0.5,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,1.5,0.0,0.0,0.0,0.6666667,1.0,1.0,2.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,17820.0
0.0,-0.14285715,-0.7,1.0,0.0,-0.8,2.2599795,-0.5,-2.0,0.0,0.6666667,0.6666667,0.0,0.6666667,0.0,-1.0,0.0,0.0,0.0,-0.3333333,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,-0.6666667,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,5346.0
0.0,-0.14285715,-0.7,1.0,0.0,-0.8,2.2599795,-0.5,-2.0,0.0,0.6666667,0.6666667,0.0,0.6666667,0.0,-1.0,0.0,0.0,0.0,-0.3333333,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.33333334,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,10692.0
0.0,0.0,-0.7,1.75,0.0,-0.8,1.4411464,-0.5,0.0,0.0,0.6666667,0.33333334,-1.0,0.6666667,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.33333334,1.0,2.0,2.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,10692.0
0.0,-0.14285715,-0.7,1.0,0.0,-0.8,2.6693962,-0.5,-2.0,0.0,0.6666667,0.6666667,0.0,0.6666667,0.0,-1.0,0.0,0.0,0.0,-0.3333333,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.33333334,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,8019.0
0.0,0.0,-0.7,1.75,0.0,-0.8,1.4411464,0.0,-2.0,0.0,0.6666667,0.6666667,0.0,0.33333334,0.0,-1.0,0.0,0.0,0.0,-0.3333333,0.0,0.0,0.0,-1.0,-0.5,0.0,0.0,0.0,0.6666667,1.0,1.0,0.0,1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,10692.0
0.0,-0.14285715,-0.7,1.0,0.0,-0.8,2.2599795,-0.5,-2.0,0.0,0.6666667,0.6666667,0.0,0.6666667,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-1.0,0.0,0.0,0.33333334,1.0,2.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000005,2.0,-1.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,10692.0
3.0,1.2857143,0.3,0.0,0.0,0.4,-0.32753327,0.5,0.0,0.0,-0.33333334,-0.33333334,0.0,0.0,1.0,0.0,-0.5,1.0,0.0,0.49812734,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.33333334,0.0,3.0,0.0,1.0,1.0,-1.6,0.0,-1.0,1.0,0.0,0.0,0.5,0.0,0.0,-0.49438217,0.6666667,1.0,0.0,0.5,0.0,0.0,0.0,0.5,2.0,4224.0
0.0,0.71428573,-0.7,0.5,0.0,-0.8,1.6458547,1.0,1.0,1.0,0.0,0.33333334,0.0,0.6666667,-2.0,-1.0,1.5,1.0,1.1647941,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-1.6,0.0,-0.33333334,-1.0,0.0,0.0,0.5,0.0,0.0,3.0000005,1.3333334,1.0,0.0,0.5,0.0,-1.0,2.0,-0.5,0.0,6534.0
0.0,0.0,0.0,-0.5,3.0,-0.6,0.110542476,0.5,1.0,0.0,-0.33333334,-0.33333334,-2.0,0.33333334,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.4,0.0,1.0,3.0,0.0,1.0,-1.0,-1.0,-1.0,1.2528092,0.6666667,-1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3465.0
1.0,1.2857143,0.3,0.75,0.0,0.4,0.33572158,1.0,2.0,0.0,-0.33333334,0.33333334,0.0,1.6666666,0.0,0.0,1.25,0.0,1.1647941,1.0,1.0,-1.0,0.0,0.0,0.5,1.0,2.0,0.0,1.3333334,0.0,1.0,0.0,2.0,1.0,-1.2,0.5,-0.33333334,1.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.3333334,-1.0,0.0,-0.5,1.0,0.0,0.0,-0.5,3.0,16016.0
-3.0,0.5714286,0.3,-0.75,0.0,0.0,-0.35619244,2.0,1.0,0.0,-0.33333334,0.6666667,-2.0,-0.33333334,-2.0,0.0,-0.75,0.0,0.0,-0.1685393,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,2.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-0.5,0.0,-1.0,0.0,-0.5,0.0,880.0
1.0,1.2857143,0.3,-0.5,1.0,0.4,-0.12691914,1.0,1.0,0.0,-0.33333334,0.33333334,0.0,-0.33333334,0.0,0.0,-0.25,1.0,0.0,0.8314608,0.0,0.0,0.0,-1.0,1.5,3.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,1.0,-1.0,0.0,0.5,1.0,3168.0
-3.0,0.2857143,-0.6,1.75,0.0,0.4,-0.35209826,0.5,2.0,0.0,0.33333334,0.0,-1.0,2.3333333,1.0,0.0,2.25,1.0,0.8314608,0.8314608,0.0,0.0,0.0,0.0,-0.5,-1.0,1.0,0.0,-0.6666667,0.0,0.0,2.0,3.0,2.0,0.0,0.5,0.33333334,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.3333334,0.0,0.0,-0.5,0.0,0.0,0.0,-0.5,0.0,19008.0
